cityMunicipality,code
Pastrana,0803741000
San Isidro,0803742000
San Miguel,0803743000
Santa Fe,0803744000
Tabango,0803745000
Tabontabon,0803746000
Tanauan,0803748000
Tolosa,0803749000
Tunga,0803750000
Villaba,0803751000
Allen,0804801000
Biri,0804802000
Bobon,0804803000
Capul,0804804000
Catarman,0804805000
Catubig,0804806000
Gamay,0804807000
Laoang,0804808000
Lapinig,0804809000
Las Navas,0804810000
Lavezares,0804811000
Mapanas,0804812000
Mondragon,0804813000
Palapag,0804814000
Pambujan,0804815000
Rosario,0804816000
San Antonio,0804817000
San Isidro,0804818000
San Jose,0804819000
San Roque,0804820000
San Vicente,0804821000
Silvino Lobos,0804822000
Victoria,0804823000
Lope De Vega,0804824000
Almagro,0806001000
Basey,0806002000
City of Calbayog,0806003000
Calbiga,0806004000
City of Catbalogan,0806005000
Daram,0806006000
Gandara,0806007000
Hinabangan,0806008000
Jiabong,0806009000
Marabut,0806010000
Matuguinao,0806011000
Motiong,0806012000
Pinabacdao,0806013000
San Jose De Buan,0806014000
San Sebastian,0806015000
Santa Margarita,0806016000
Santa Rita,0806017000
Santo Niño,0806018000
Talalora,0806019000
Tarangnan,0806020000
Villareal,0806021000
Paranas,0806022000
Zumarraga,0806023000
Tagapul-An,0806024000
San Jorge,0806025000
Pagsanghan,0806026000
Anahawan,0806401000
Bontoc,0806402000
Hinunangan,0806403000
Hinundayan,0806404000
Libagon,0806405000
Liloan,0806406000
City of Maasin,0806407000
Macrohon,0806408000
Malitbog,0806409000
Padre Burgos,0806410000
Pintuyan,0806411000
Saint Bernard,0806412000
San Francisco,0806413000
San Juan,0806414000
San Ricardo,0806415000
Silago,0806416000
Sogod,0806417000
Tomas Oppus,0806418000
Limasawa,0806419000
Almeria,0807801000
Biliran,0807802000
Cabucgayan,0807803000
Caibiran,0807804000
Culaba,0807805000
Kawayan,0807806000
Maripipi,0807807000
Naval,0807808000
City of Tacloban,0831600000
City of Dapitan,0907201000
City of Dipolog,0907202000
Katipunan,0907203000
La Libertad,0907204000
Labason,0907205000
Liloy,0907206000
Manukan,0907207000
Mutia,0907208000
Piñan,0907209000
Polanco,0907210000
Pres. Manuel A. Roxas,0907211000
Rizal,0907212000
Salug,0907213000
Sergio Osmeña Sr.,0907214000
Siayan,0907215000
Sibuco,0907216000
Sibutad,0907217000
Sindangan,0907218000
Siocon,0907219000
Sirawai,0907220000
Tampilisan,0907221000
Jose Dalman,0907222000
Gutalac,0907223000
Baliguian,0907224000
Godod,0907225000
Leon T. Postigo,0907226000
Kalawit,0907227000
Aurora,0907302000
Bayog,0907303000
Dimataling,0907305000
Dinas,0907306000
Dumalinao,0907307000
Dumingag,0907308000
Kumalarang,0907311000
Labangan,0907312000
Lapuyan,0907313000
Mahayag,0907315000
Margosatubig,0907317000
Midsalip,0907318000
Molave,0907319000
City of Pagadian,0907322000
Ramon Magsaysay,0907323000
San Miguel,0907324000
San Pablo,0907325000
Tabina,0907327000
Tambulig,0907328000
Tukuran,0907330000
Lakewood,0907333000
Josefina,0907337000
Pitogo,0907338000
Sominot,0907340000
Vincenzo A. Sagun,0907341000
Guipos,0907343000
Tigbao,0907344000
Alicia,0908301000
Buug,0908302000
Diplahan,0908303000
Imelda,0908304000
Ipil,0908305000
Kabasalan,0908306000
Mabuhay,0908307000
Malangas,0908308000
Naga,0908309000
Olutanga,0908310000
Payao,0908311000
Roseller Lim,0908312000
Siay,0908313000
Talusan,0908314000
Titay,0908315000
Tungawan,0908316000
City of Zamboanga,0931700000
City of Isabela,0990101000
Baungon,1001301000
Damulog,1001302000
Dangcagan,1001303000
Don Carlos,1001304000
Impasug-ong,1001305000
Kadingilan,1001306000
Kalilangan,1001307000
Kibawe,1001308000
Kitaotao,1001309000
Lantapan,1001310000
Libona,1001311000
City of Malaybalay,1001312000
Malitbog,1001313000
Manolo Fortich,1001314000
Maramag,1001315000
Pangantucan,1001316000
Quezon,1001317000
San Fernando,1001318000
Sumilao,1001319000
Talakag,1001320000
City of Valencia,1001321000
Cabanglasan,1001322000
Catarman,1001801000
Guinsiliban,1001802000
Mahinog,1001803000
Mambajao,1001804000
Sagay,1001805000
Bacolod,1003501000
Baloi,1003502000
Baroy,1003503000
Kapatagan,1003505000
Sultan Naga Dimaporo,1003506000
Kauswagan,1003507000
Kolambugan,1003508000
Lala,1003509000
Linamon,1003510000
Magsaysay,1003511000
Maigo,1003512000
Matungao,1003513000
Munai,1003514000
Nunungan,1003515000
Pantao Ragat,1003516000
Poona Piagapo,1003517000
Salvador,1003518000
Sapad,1003519000
Tagoloan,1003520000
Tangcal,1003521000
Tubod,1003522000
Pantar,1003523000
Aloran,1004201000
Baliangao,1004202000
Bonifacio,1004203000
Calamba,1004204000
Clarin,1004205000
Concepcion,1004206000
Jimenez,1004207000
Lopez Jaena,1004208000
City of Oroquieta,1004209000
City of Ozamiz,1004210000
Panaon,1004211000
Plaridel,1004212000
Sapang Dalaga,1004213000
Sinacaban,1004214000
City of Tangub,1004215000
Tudela,1004216000
Don Victoriano Chiongbian,1004217000
Alubijid,1004301000
Balingasag,1004302000
Balingoan,1004303000
Binuangan,1004304000
Claveria,1004306000
City of El Salvador,1004307000
City of Gingoog,1004308000
Gitagum,1004309000
Initao,1004310000
Jasaan,1004311000
Kinoguitan,1004312000
Lagonglong,1004313000
Laguindingan,1004314000
Libertad,1004315000
Lugait,1004316000
Magsaysay,1004317000
Manticao,1004318000
Medina,1004319000
Naawan,1004320000
Opol,1004321000
Salay,1004322000
Sugbongcogon,1004323000
Tagoloan,1004324000
Talisayan,1004325000
Villanueva,1004326000
City of Cagayan De Oro,1030500000
City of Iligan,1030900000
Asuncion,1102301000
Carmen,1102303000
Kapalong,1102305000
New Corella,1102314000
City of Panabo,1102315000
Island Garden City of Samal,1102317000
Santo Tomas,1102318000
City of Tagum,1102319000
Talaingod,1102322000
Braulio E. Dujali,1102323000
San Isidro,1102324000
Bansalan,1102401000
City of Digos,1102403000
Hagonoy,1102404000
Kiblawan,1102406000
Magsaysay,1102407000
Malalag,1102408000
Matanao,1102410000
Padada,1102411000
Santa Cruz,1102412000
Sulop,1102414000
Baganga,1102501000
Banaybanay,1102502000
Boston,1102503000
Caraga,1102504000
Cateel,1102505000
Governor Generoso,1102506000
Lupon,1102507000
Manay,1102508000
City of Mati,1102509000
San Isidro,1102510000
Tarragona,1102511000
Compostela,1108201000
Laak,1108202000
Mabini,1108203000
Maco,1108204000
Maragusan,1108205000
Mawab,1108206000
Monkayo,1108207000
Montevista,1108208000
Nabunturan,1108209000
New Bataan,1108210000
Pantukan,1108211000
Don Marcelino,1108601000
Jose Abad Santos,1108602000
Malita,1108603000
Santa Maria,1108604000
Sarangani,1108605000
City of Davao,1130700000
Alamada,1204701000
Carmen,1204702000
Kabacan,1204703000
City of Kidapawan,1204704000
Libungan,1204705000
Magpet,1204706000
Makilala,1204707000
Matalam,1204708000
Midsayap,1204709000
M'Lang,1204710000
Pigkawayan,1204711000
Pikit,1204712000
President Roxas,1204713000
Tulunan,1204714000
Antipas,1204715000
Banisilan,1204716000
Aleosan,1204717000
Arakan,1204718000
Banga,1206302000
City of Koronadal,1206306000
Norala,1206311000
Polomolok,1206312000
Surallah,1206313000
Tampakan,1206314000
Tantangan,1206315000
T'Boli,1206316000
Tupi,1206317000
Santo Niño,1206318000
Lake Sebu,1206319000
Bagumbayan,1206501000
Columbio,1206502000
Esperanza,1206503000
Isulan,1206504000
Kalamansig,1206505000
Lebak,1206506000
Lutayan,1206507000
Lambayong,1206508000
Palimbang,1206509000
President Quirino,1206510000
City of Tacurong,1206511000
Sen. Ninoy Aquino,1206512000
Alabel,1208001000
Glan,1208002000
Kiamba,1208003000
Maasim,1208004000
Maitum,1208005000
Malapatan,1208006000
Malungon,1208007000
City of General Santos,1230800000
City of Caloocan,1380100000
City of Las Piñas,1380200000
City of Makati,1380300000
City of Malabon,1380400000
City of Mandaluyong,1380500000
City of Manila,1380600000
City of Marikina,1380700000
City of Muntinlupa,1380800000
City of Navotas,1380900000
City of Parañaque,1381000000
Pasay City,1381100000
City of Pasig,1381200000
Quezon City,1381300000
City of San Juan,1381400000
City of Taguig,1381500000
City of Valenzuela,1381600000
Pateros,1381701000
Bangued,1400101000
Boliney,1400102000
Bucay,1400103000
Bucloc,1400104000
Daguioman,1400105000
Danglas,1400106000
Dolores,1400107000
La Paz,1400108000
Lacub,1400109000
Lagangilang,1400110000
Lagayan,1400111000
Langiden,1400112000
Licuan-Baay,1400113000
Luba,1400114000
Malibcong,1400115000
Manabo,1400116000
Peñarrubia,1400117000
Pidigan,1400118000
Pilar,1400119000
Sallapadan,1400120000
San Isidro,1400121000
San Juan,1400122000
San Quintin,1400123000
Tayum,1400124000
Tineg,1400125000
Tubo,1400126000
Villaviciosa,1400127000
Atok,1401101000
Bakun,1401103000
Bokod,1401104000
Buguias,1401105000
Itogon,1401106000
Kabayan,1401107000
Kapangan,1401108000
Kibungan,1401109000
La Trinidad,1401110000
Mankayan,1401111000
Sablan,1401112000
Tuba,1401113000
Tublay,1401114000
Banaue,1402701000
Hungduan,1402702000
Kiangan,1402703000
Lagawe,1402704000
Lamut,1402705000
Mayoyao,1402706000
Alfonso Lista,1402707000
Aguinaldo,1402708000
Hingyon,1402709000
Tinoc,1402710000
Asipulo,1402711000
Balbalan,1403201000
Lubuagan,1403206000
Pasil,1403208000
Pinukpuk,1403209000
Rizal,1403211000
City of Tabuk,1403213000
Tanudan,1403214000
Tinglayan,1403215000
Barlig,1404401000
Bauko,1404402000
Besao,1404403000
Bontoc,1404404000
Natonin,1404405000
Paracelis,1404406000
Sabangan,1404407000
Sadanga,1404408000
Sagada,1404409000
Tadian,1404410000
Calanasan,1408101000
Conner,1408102000
Flora,1408103000
Kabugao,1408104000
Luna,1408105000
Pudtol,1408106000
Santa Marcela,1408107000
City of Baguio,1430300000
Buenavista,1600201000
City of Cabadbaran,1600203000
Carmen,1600204000
Jabonga,1600205000
Kitcharao,1600206000
Las Nieves,1600207000
Magallanes,1600208000
Nasipit,1600209000
Santiago,1600210000
Tubay,1600211000
Remedios T. Romualdez,1600212000
City of Bayugan,1600301000
Bunawan,1600302000
Esperanza,1600303000
La Paz,1600304000
Loreto,1600305000
Prosperidad,1600306000
Rosario,1600307000
San Francisco,1600308000
San Luis,1600309000
Santa Josefa,1600310000
Talacogon,1600311000
Trento,1600312000
Veruela,1600313000
Sibagat,1600314000
Alegria,1606701000
Bacuag,1606702000
Burgos,1606704000
Claver,1606706000
Dapa,1606707000
Del Carmen,1606708000
General Luna,1606710000
Gigaquit,1606711000
Mainit,1606714000
Malimono,1606715000
Pilar,1606716000
Placer,1606717000
San Benito,1606718000
San Francisco,1606719000
San Isidro,1606720000
Santa Monica,1606721000
Sison,1606722000
Socorro,1606723000
City of Surigao,1606724000
Tagana-An,1606725000
Tubod,1606727000
Barobo,1606801000
Bayabas,1606802000
City of Bislig,1606803000
Cagwait,1606804000
Cantilan,1606805000
Carmen,1606806000
Carrascal,1606807000
Cortes,1606808000
Hinatuan,1606809000
Lanuza,1606810000
Lianga,1606811000
Lingig,1606812000
Madrid,1606813000
Marihatag,1606814000
San Agustin,1606815000
San Miguel,1606816000
Tagbina,1606817000
Tago,1606818000
City of Tandag,1606819000
Basilisa,1608501000
Cagdianao,1608502000
Dinagat,1608503000
Libjo,1608504000
Loreto,1608505000
San Jose,1608506000
Tubajon,1608507000
City of Butuan,1630400000
Boac,1704001000
Buenavista,1704002000
Gasan,1704003000
Mogpog,1704004000
Santa Cruz,1704005000
Torrijos,1704006000
Abra De Ilog,1705101000
Calintaan,1705102000
Looc,1705103000
Lubang,1705104000
Magsaysay,1705105000
Mamburao,1705106000
Paluan,1705107000
Rizal,1705108000
Sablayan,1705109000
San Jose,1705110000
Santa Cruz,1705111000
Baco,1705201000
Bansud,1705202000
Bongabong,1705203000
Bulalacao,1705204000
City of Calapan,1705205000
Gloria,1705206000
Mansalay,1705207000
Naujan,1705208000
Pinamalayan,1705209000
Pola,1705210000
Puerto Galera,1705211000
Roxas,1705212000
San Teodoro,1705213000
Socorro,1705214000
Victoria,1705215000
Aborlan,1705301000
Agutaya,1705302000
Araceli,1705303000
Balabac,1705304000
Bataraza,1705305000
Brooke's Point,1705306000
Busuanga,1705307000
Cagayancillo,1705308000
Coron,1705309000
Cuyo,1705310000
Dumaran,1705311000
El Nido,1705312000
Linapacan,1705313000
Magsaysay,1705314000
Narra,1705315000
Quezon,1705317000
Roxas,1705318000
San Vicente,1705319000
Taytay,1705320000
Kalayaan,1705321000
Culion,1705322000
Rizal,1705323000
Sofronio Española,1705324000
Alcantara,1705901000
Banton,1705902000
Cajidiocan,1705903000
Calatrava,1705904000
Concepcion,1705905000
Corcuera,1705906000
Looc,1705907000
Magdiwang,1705908000
Odiongan,1705909000
Romblon,1705910000
San Agustin,1705911000
San Andres,1705912000
San Fernando,1705913000
San Jose,1705914000
Santa Fe,1705915000
Ferrol,1705916000
Santa Maria,1705917000
City of Bago,1804502000
Binalbagan,1804503000
City of Cadiz,1804504000
Calatrava,1804505000
Candoni,1804506000
Cauayan,1804507000
Enrique B. Magalona,1804508000
City of Escalante,1804509000
City of Himamaylan,1804510000
Hinigaran,1804511000
Hinoba-an,1804512000
Ilog,1804513000
Isabela,1804514000
City of Kabankalan,1804515000
City of La Carlota,1804516000
La Castellana,1804517000
Manapla,1804518000
Moises Padilla,1804519000
Murcia,1804520000
Pontevedra,1804521000
Pulupandan,1804522000
City of Sagay,1804523000
City of San Carlos,1804524000
San Enrique,1804525000
City of Silay,1804526000
City of Sipalay,1804527000
City of Talisay,1804528000
Toboso,1804529000
Valladolid,1804530000
City of Victorias,1804531000
Salvador Benedicto,1804532000
Amlan,1804601000
Ayungon,1804602000
Bacong,1804603000
City of Bais,1804604000
Basay,1804605000
City of Bayawan,1804606000
Bindoy,1804607000
City of Canlaon,1804608000
Dauin,1804609000
City of Dumaguete,1804610000
City of Guihulngan,1804611000
Jimalalud,1804612000
La Libertad,1804613000
Mabinay,1804614000
Manjuyod,1804615000
Pamplona,1804616000
San Jose,1804617000
Santa Catalina,1804618000
Siaton,1804619000
Sibulan,1804620000
City of Tanjay,1804621000
Tayasan,1804622000
Valencia,1804623000
Vallehermoso,1804624000
Zamboanguita,1804625000
Enrique Villanueva,1806101000
Larena,1806102000
Lazi,1806103000
Maria,1806104000
San Juan,1806105000
Siquijor,1806106000
City of Bacolod,1830200000
City of Lamitan,1900702000
Lantawan,1900703000
Maluso,1900704000
Sumisip,1900705000
Tipo-Tipo,1900706000
Tuburan,1900707000
Akbar,1900708000
Al-Barka,1900709000
Hadji Mohammad Ajul,1900710000
Ungkaya Pukan,1900711000
Hadji Muhtamad,1900712000
Tabuan-Lasa,1900713000
Bacolod-Kalawi,1903601000
Balabagan,1903602000
Balindong,1903603000
Bayang,1903604000
Binidayan,1903605000
Bubong,1903606000
Butig,1903607000
Ganassi,1903609000
Kapai,1903610000
Lumba-Bayabao,1903611000
Lumbatan,1903612000
Madalum,1903613000
Madamba,1903614000
Malabang,1903615000
Marantao,1903616000
City of Marawi,1903617000
Masiu,1903618000
Mulondo,1903619000
Pagayawan,1903620000
Piagapo,1903621000
Poona Bayabao,1903622000
Pualas,1903623000
Ditsaan-Ramain,1903624000
Saguiaran,1903625000
Tamparan,1903626000
Taraka,1903627000
Tubaran,1903628000
Tugaya,1903629000
Wao,1903630000
Marogong,1903631000
Calanogas,1903632000
Buadiposo-Buntong,1903633000
Maguing,1903634000
Picong,1903635000
Lumbayanague,1903636000
Amai Manabilang,1903637000
Tagoloan Ii,1903638000
Kapatagan,1903639000
Sultan Dumalondong,1903640000
Lumbaca-Unayan,1903641000
Indanan,1906601000
Jolo,1906602000
Kalingalan Caluang,1906603000
Luuk,1906604000
Maimbung,1906605000
Hadji Panglima Tahil,1906606000
Old Panamao,1906607000
Pangutaran,1906608000
Parang,1906609000
Pata,1906610000
Patikul,1906611000
Siasi,1906612000
Talipao,1906613000
Tapul,1906614000
Tongkil,1906615000
Panglima Estino,1906616000
Lugus,1906617000
Pandami,1906618000
Omar,1906619000
Panglima Sugala,1907001000
Bongao,1907002000
Mapun,1907003000
Simunul,1907004000
Sitangkai,1907005000
South Ubian,1907006000
Tandubas,1907007000
Turtle Islands,1907008000
Languyan,1907009000
Sapa-Sapa,1907010000
Sibutu,1907011000
Barira,1908701000
Buldon,1908702000
City of Cotabato,1908703000
Datu Blah T. Sinsuat,1908704000
Datu Odin Sinsuat,1908705000
Kabuntalan,1908706000
Matanog,1908707000
Northern Kabuntalan,1908708000
Parang,1908709000
Sultan Kudarat,1908710000
Sultan Mastura,1908711000
Talitay,1908712000
Upi,1908713000
Ampatuan,1908801000
Buluan,1908802000
Datu Abdullah Sangki,1908803000
Datu Anggal Midtimbang,1908804000
Datu Hoffer Ampatuan,1908805000
Datu Paglas,1908806000
Datu Piang,1908807000
Datu Salibo,1908808000
Datu Saudi Ampatuan,1908809000
Datu Unsay,1908810000
Gen. S.K. Pendatun,1908811000
Guindulungan,1908812000
Mamasapano,1908813000
Mangudadatu,1908814000
Pagagawan,1908815000
Pagalungan,1908816000
Paglat,1908817000
Pandag,1908818000
Rajah Buayan,1908819000
Shariff Aguak,1908820000
Shariff Saydona Mustapha,1908821000
South Upi,1908822000
Sultan Sa Barongis,1908823000
Talayan,1908824000
Espiritu,0102811000
Concepcion,0102910000
Angkaki,0102915000
Baugen,0102916000
Lapog,0102920000
Faire,0201526000
Magsaysay,0203118000
Bigaa,0301402000
Bitulok & Sabani,0304907000
Papaya,0304910000
Sexmoan,0305422000
Mendez-Nuñez,0402114000
Aurora,0405642000
Montalban,0405808000
Locsin,0500503000
Libog,0500516000
Imelda,0501604000
Parubcan,0501729000
Payo,0502007000
Calolbon,0502008000
Limbuhan,0504116000
Dao,0600607000
Pitogo,0701235000
Borja,0701236000
Opon,0731100000
Bugho,0803724000
Wright,0806022000
Cabalian,0806414000
New Piñan,0907209000
Ponot,0907222000
Bacungan,0907226000
Liargo,0907323000
Don Mariano Marcos,0907340000
Karomatan,1003506000
Don Mariano Marcos,1004217000
Linugos,1004317000
Saug,1102301000
San Vicente,1108202000
Doña Alicia,1108203000
San Mariano,1108205000
Trinidad,1108602000
Mariano Marcos,1206508000
Dadiangas,1230800000
Licuan,1400113000
Potia,1402707000
Liwan,1403211000
Bayag,1408101000
Anao-aon,1606719000
Sapao,1606721000
Rizal,1608501000
Albor,1608504000
San Pedro,1705204000
Bacuit,1705312000
Marcos,1705323000
Imelda,1705917000
Saravia,1804508000
Asia,1804512000
Magallon,1804519000
Ayuquitan,1804601000
Tulong,1804606000
Payabon,1804607000
Luzurriaga,1804623000
Bacolod Grande,1903601000
Watu,1903603000
Maguing,1903611000
Tatarikan,1903620000
Gata,1903622000
Sultan Gumander,1903635000
Bumbaran,1903637000
Marunggas,1906606000
New Panamao,1906616000
Balimbing,1907001000
Cagayan de Tawi-Tawi,1907003000
Dinaig,1908705000
Tumbao,1908706000
Nuling,1908710000
Maganoy,1908820000
Lambayong,1908823000
